"REGION","Consumer_Spending","Year"
1,156018.222222222,"2000"
1,163250.866666667,"2001"
1,169863.411111111,"2002"
1,179593.733333333,"2003"
1,190131.777777778,"2004"
1,201264.733333333,"2005"
1,211507.877777778,"2006"
1,220690.222222222,"2007"
1,227822.022222222,"2008"
1,225554.777777778,"2009"
1,233787.577777778,"2010"
1,242498.511111111,"2011"
1,248968.466666667,"2012"
1,256116.466666667,"2013"
1,265946.066666667,"2014"
1,273544.388888889,"2015"
1,281386.755555556,"2016"
1,292440.055555556,"2017"
1,305714.644444444,"2018"
1,315365.244444444,"2019"
1,305907.9,"2020"
1,340473,"2021"
1,369889.411111111,"2022"
2,126439.033333333,"2000"
2,131410.166666667,"2001"
2,135870.358333333,"2002"
2,142173.116666667,"2003"
2,149701.933333333,"2004"
2,157258.716666667,"2005"
2,164077.158333333,"2006"
2,170780.833333333,"2007"
2,175689.95,"2008"
2,172982.266666667,"2009"
2,179225.116666667,"2010"
2,186523.65,"2011"
2,192195.291666667,"2012"
2,197343.058333333,"2013"
2,204267.366666667,"2014"
2,210112.8,"2015"
2,216620.416666667,"2016"
2,224897.516666667,"2017"
2,233922.908333333,"2018"
2,239730.683333333,"2019"
2,235329.575,"2020"
2,262560.3,"2021"
2,284733.391666667,"2022"
3,134684.494117647,"2000"
3,141023.929411765,"2001"
3,146436.647058824,"2002"
3,154221.194117647,"2003"
3,164720.311764706,"2004"
3,176820.352941176,"2005"
3,188208.311764706,"2006"
3,198434.394117647,"2007"
3,204681.064705882,"2008"
3,202113.388235294,"2009"
3,210514.441176471,"2010"
3,220286.764705882,"2011"
3,227976.029411765,"2012"
3,235370.529411765,"2013"
3,246268.252941176,"2014"
3,255518.088235294,"2015"
3,264363.735294118,"2016"
3,275914.570588235,"2017"
3,288975.823529412,"2018"
3,299255.629411765,"2019"
3,298267.705882353,"2020"
3,339436.664705882,"2021"
3,371375.523529412,"2022"
4,119428.653846154,"2000"
4,125112.030769231,"2001"
4,130464.953846154,"2002"
4,137778.253846154,"2003"
4,147559.146153846,"2004"
4,158360.976923077,"2005"
4,169138.476923077,"2006"
4,179256.130769231,"2007"
4,184916.192307692,"2008"
4,180039.553846154,"2009"
4,186026.930769231,"2010"
4,194124.130769231,"2011"
4,201217.215384615,"2012"
4,208111.553846154,"2013"
4,218060.992307692,"2014"
4,227927.938461538,"2015"
4,237977.523076923,"2016"
4,250949.253846154,"2017"
4,265606.584615385,"2018"
4,277212.415384615,"2019"
4,272879.115384615,"2020"
4,311267.192307692,"2021"
4,341623.146153846,"2022"
