"REGION","SFH_Sales","Year"
"1",71250,"2000"
"1",65417,"2001"
"1",64750,"2002"
"1",80083,"2003"
"1",82167,"2004"
"1",81417,"2005"
"1",63583,"2006"
"1",64083,"2007"
"1",35333,"2008"
"1",31417,"2009"
"1",30667,"2010"
"1",21167,"2011"
"1",28833,"2012"
"1",30583,"2013"
"1",27750,"2014"
"1",24750,"2015"
"1",32250,"2016"
"1",39833,"2017"
"1",32333,"2018"
"1",30333,"2019"
"1",37667,"2020"
"1",35833,"2021"
"1",32583,"2022"
"1",33583,"2023"
"2",155833,"2000"
"2",163500,"2001"
"2",188417,"2002"
"2",188750,"2003"
"2",211000,"2004"
"2",203167,"2005"
"2",161333,"2006"
"2",117833,"2007"
"2",69250,"2008"
"2",54167,"2009"
"2",44500,"2010"
"2",45167,"2011"
"2",47250,"2012"
"2",60833,"2013"
"2",58250,"2014"
"2",61167,"2015"
"2",69417,"2016"
"2",71833,"2017"
"2",75167,"2018"
"2",72417,"2019"
"2",93250,"2020"
"2",84250,"2021"
"2",65250,"2022"
"2",68167,"2023"
"3",407083,"2000"
"3",439000,"2001"
"3",450417,"2002"
"3",513417,"2003"
"3",561000,"2004"
"3",638167,"2005"
"3",558917,"2006"
"3",408750,"2007"
"3",264750,"2008"
"3",201667,"2009"
"3",172500,"2010"
"3",168167,"2011"
"3",195417,"2012"
"3",233083,"2013"
"3",244583,"2014"
"3",286083,"2015"
"3",316667,"2016"
"3",339583,"2017"
"3",347333,"2018"
"3",400417,"2019"
"3",481750,"2020"
"3",452167,"2021"
"3",391000,"2022"
"3",411333,"2023"
"4",246083,"2000"
"4",239333,"2001"
"4",272583,"2002"
"4",308417,"2003"
"4",346667,"2004"
"4",356167,"2005"
"4",265500,"2006"
"4",178000,"2007"
"4",112833,"2008"
"4",87000,"2009"
"4",73583,"2010"
"4",71917,"2011"
"4",96583,"2012"
"4",105333,"2013"
"4",109667,"2014"
"4",130583,"2015"
"4",142167,"2016"
"4",163417,"2017"
"4",159167,"2018"
"4",182000,"2019"
"4",220083,"2020"
"4",197000,"2021"
"4",148083,"2022"
"4",153417,"2023"
