"REGION","ZillowAvgHomePrice","Year"
1,142482.600673996,"2000"
1,157733.992352087,"2001"
1,176448.473688776,"2002"
1,199636.073016625,"2003"
1,224552.315904166,"2004"
1,251367.627393543,"2005"
1,267143.284794926,"2006"
1,265116.426900478,"2007"
1,254258.001959696,"2008"
1,236936.711922143,"2009"
1,232165.563442895,"2010"
1,223730.373635583,"2011"
1,218589.136400646,"2012"
1,224050.098047103,"2013"
1,232205.993443157,"2014"
1,238936.301828396,"2015"
1,248755.471514364,"2016"
1,261689.878824375,"2017"
1,276017.03573845,"2018"
1,286114.866141288,"2019"
1,303382.0892858,"2020"
1,349039.678759858,"2021"
1,389775.333243827,"2022"
1,409405.05347798,"2023"
2,99080.4632934719,"2000"
2,104410.483868711,"2001"
2,109707.815442811,"2002"
2,115306.540297861,"2003"
2,121948.265792294,"2004"
2,129048.954438649,"2005"
2,133804.556886704,"2006"
2,134749.628007068,"2007"
2,130922.597419796,"2008"
2,137001.03376266,"2009"
2,134053.19354358,"2010"
2,128402.5254448,"2011"
2,127316.174684671,"2012"
2,135301.806624839,"2013"
2,142148.201988841,"2014"
2,148946.297830433,"2015"
2,156385.589226253,"2016"
2,163395.760098516,"2017"
2,171591.181700692,"2018"
2,179952.091607192,"2019"
2,190609.738689162,"2020"
2,213753.996405575,"2021"
2,237035.154011476,"2022"
2,245274.09417555,"2023"
3,111972.13088617,"2000"
3,118381.200150336,"2001"
3,125456.30657033,"2002"
3,134227.484915674,"2003"
3,146016.56650897,"2004"
3,163580.188631697,"2005"
3,179780.978216752,"2006"
3,183831.482922496,"2007"
3,176982.429629222,"2008"
3,166060.139762963,"2009"
3,161339.503385791,"2010"
3,154862.519016554,"2011"
3,154104.300108925,"2012"
3,161766.564855446,"2013"
3,170726.363707608,"2014"
3,178907.132713984,"2015"
3,187789.122348856,"2016"
3,195823.463920342,"2017"
3,205388.598377999,"2018"
3,214235.294684418,"2019"
3,226586.998035049,"2020"
3,255336.310199511,"2021"
3,286946.687823466,"2022"
3,292857.667317031,"2023"
4,125526.165030978,"2000"
4,134899.856318243,"2001"
4,158885.703479867,"2002"
4,174842.504776328,"2003"
4,193645.172337072,"2004"
4,236544.919864362,"2005"
4,269412.937520125,"2006"
4,277349.148730415,"2007"
4,260366.106801909,"2008"
4,232612.536159277,"2009"
4,222483.11304793,"2010"
4,210904.602331529,"2011"
4,210734.113452724,"2012"
4,230030.860330172,"2013"
4,248460.716435012,"2014"
4,265377.927242704,"2015"
4,284973.476371701,"2016"
4,304455.021240042,"2017"
4,326823.424232927,"2018"
4,341652.892252601,"2019"
4,365767.513627199,"2020"
4,429159.418218086,"2021"
4,494803.007343746,"2022"
4,487677.702592406,"2023"
