DATE,HSN1FMW
2000-01-01,155.8333333333333333
2001-01-01,163.5000000000000000
2002-01-01,188.4166666666666667
2003-01-01,188.7500000000000000
2004-01-01,211.0000000000000000
2005-01-01,203.1666666666666667
2006-01-01,161.3333333333333333
2007-01-01,117.8333333333333333
2008-01-01,69.2500000000000000
2009-01-01,54.1666666666666667
2010-01-01,44.5000000000000000
2011-01-01,45.1666666666666667
2012-01-01,47.2500000000000000
2013-01-01,60.8333333333333333
2014-01-01,58.2500000000000000
2015-01-01,61.1666666666666667
2016-01-01,69.4166666666666667
2017-01-01,71.8333333333333333
2018-01-01,75.1666666666666667
2019-01-01,72.4166666666666667
2020-01-01,93.2500000000000000
2021-01-01,84.2500000000000000
2022-01-01,65.2500000000000000
2023-01-01,68.1666666666666667
