DATE,HSN1FNE
2000-01-01,71.2500000000000000
2001-01-01,65.4166666666666667
2002-01-01,64.7500000000000000
2003-01-01,80.0833333333333333
2004-01-01,82.1666666666666667
2005-01-01,81.4166666666666667
2006-01-01,63.5833333333333333
2007-01-01,64.0833333333333333
2008-01-01,35.3333333333333333
2009-01-01,31.4166666666666667
2010-01-01,30.6666666666666667
2011-01-01,21.1666666666666667
2012-01-01,28.8333333333333333
2013-01-01,30.5833333333333333
2014-01-01,27.7500000000000000
2015-01-01,24.7500000000000000
2016-01-01,32.2500000000000000
2017-01-01,39.8333333333333333
2018-01-01,32.3333333333333333
2019-01-01,30.3333333333333333
2020-01-01,37.6666666666666667
2021-01-01,35.8333333333333333
2022-01-01,32.5833333333333333
2023-01-01,33.5833333333333333
