DATE,HSN1FS
2000-01-01,407.0833333333333333
2001-01-01,439.0000000000000000
2002-01-01,450.4166666666666667
2003-01-01,513.4166666666666667
2004-01-01,561.0000000000000000
2005-01-01,638.1666666666666667
2006-01-01,558.9166666666666667
2007-01-01,408.7500000000000000
2008-01-01,264.7500000000000000
2009-01-01,201.6666666666666667
2010-01-01,172.5000000000000000
2011-01-01,168.1666666666666667
2012-01-01,195.4166666666666667
2013-01-01,233.0833333333333333
2014-01-01,244.5833333333333333
2015-01-01,286.0833333333333333
2016-01-01,316.6666666666666667
2017-01-01,339.5833333333333333
2018-01-01,347.3333333333333333
2019-01-01,400.4166666666666667
2020-01-01,481.7500000000000000
2021-01-01,452.1666666666666667
2022-01-01,391.0000000000000000
2023-01-01,411.3333333333333333
